r,t,M,D,K,S,num_points,num_missed,error,acc,spr_error,spr_perc,runtime,rep_time,cluster_time
7,25,9,6,5,1880,9400,340,0.036170212765957444,0.9638297872340426,0.07143518195074544,74.80851063829788,1.3386256940138992,0.2084619980014395,1.1301636960124597
7,26,9,6,5,1880,9400,370,0.039361702127659576,0.9606382978723405,0.07585190390494684,75.04255319148936,1.2818970080115832,0.20880547200795263,1.0730915360036306
7,27,9,6,5,1880,9400,300,0.031914893617021274,0.9680851063829787,0.06523486520892709,77.93617021276596,1.3163798690075055,0.20807450500433333,1.1083053640031721
7,28,9,6,5,1880,9400,406,0.043191489361702126,0.9568085106382979,0.08201857891267396,72.42553191489361,1.3510576270055026,0.20864323401474394,1.1424143929907586
7,29,9,6,5,1880,9400,389,0.041382978723404254,0.9586170212765958,0.07873856670301004,74.18085106382979,1.3287056289846078,0.20819666399620473,1.120508964988403
7,30,9,6,5,1880,9400,416,0.04425531914893617,0.9557446808510638,0.07920642237427017,73.53191489361701,1.2932519309979398,0.20843310898635536,1.0848188220115844
7,31,9,6,5,1880,9400,227,0.024148936170212767,0.9758510638297873,0.050405897474473015,81.88297872340425,1.2857220149890054,0.2084634609927889,1.0772585539962165
7,32,9,6,5,1880,9400,451,0.04797872340425532,0.9520212765957446,0.08605564447575051,71.52127659574468,1.3757269619964063,0.20843873199191876,1.1672882300044876
7,33,9,6,5,1880,9400,307,0.03265957446808511,0.9673404255319149,0.06710475790003993,77.69148936170212,1.2925399760133587,0.20826120299170725,1.0842787730216514
7,34,9,6,5,1880,9400,242,0.02574468085106383,0.9742553191489361,0.05236747243959587,81.80851063829788,1.2593505239929073,0.20832634600810707,1.0510241779848002
7,35,9,6,5,1880,9400,295,0.03138297872340425,0.9686170212765958,0.06309664693307358,78.41489361702128,1.2683383080002386,0.2081037609896157,1.060234547010623
7,36,9,6,5,1880,9400,333,0.035425531914893615,0.9645744680851064,0.06889313768186649,76.46808510638297,1.3492409129976295,0.20856419199844822,1.1406767209991813
7,37,9,6,5,1880,9400,345,0.036702127659574466,0.9632978723404255,0.07622422897619625,74.45744680851064,1.2878861599892844,0.2082323239883408,1.0796538360009436
7,38,9,6,5,1880,9400,286,0.030425531914893618,0.9695744680851064,0.060015390962649226,79.44680851063829,1.3151628949854057,0.20848096799454652,1.1066819269908592
7,39,9,6,5,1880,9400,414,0.044042553191489364,0.9559574468085106,0.07195866899969265,76.06382978723404,1.4040866760187782,0.20815435799886473,1.1959323180199135
7,40,9,6,5,1880,9400,312,0.033191489361702124,0.9668085106382979,0.06677865756070371,77.11702127659574,1.2887653340003453,0.20800680600223131,1.080758527998114
7,41,9,6,5,1880,9400,278,0.029574468085106383,0.9704255319148937,0.06276964433372349,77.67021276595744,1.2746407200174872,0.2082543540163897,1.0663863660010975
7,42,9,6,5,1880,9400,357,0.03797872340425532,0.9620212765957447,0.07114981275499956,75.51063829787233,1.3352875240088906,0.20818903102190234,1.1270984929869883
7,43,9,6,5,1880,9400,275,0.02925531914893617,0.9707446808510638,0.05951059594387058,80.04255319148936,1.3146277670166455,0.2081233260105364,1.1065044410061091
7,44,9,6,5,1880,9400,334,0.03553191489361702,0.9644680851063829,0.07053300612308744,75.30851063829788,1.3047555150114931,0.20837808601208963,1.0963774289994035
7,45,9,6,5,1880,9400,326,0.03468085106382979,0.9653191489361702,0.06849006046347206,76.34042553191489,1.3258744399936404,0.20799369001179002,1.1178807499818504
7,46,9,6,5,1880,9400,260,0.027659574468085105,0.9723404255319149,0.055273242152474124,79.53191489361701,1.2752016849990468,0.20802075800020248,1.0671809269988444
7,47,9,6,5,1880,9400,320,0.03404255319148936,0.9659574468085106,0.06503088401659765,77.46808510638297,1.2769309319846798,0.20843384598265402,1.0684970860020258
7,48,9,6,5,1880,9400,338,0.03595744680851064,0.9640425531914893,0.06753994607598086,76.70212765957447,1.270751691015903,0.2080205560196191,1.0627311349962838
7,49,9,6,5,1880,9400,342,0.036382978723404256,0.9636170212765958,0.0705073176088425,76.63829787234043,1.3202027560037095,0.20813724800245836,1.1120655080012511
8,0,9,6,5,3396,16980,359,0.021142520612485276,0.9788574793875148,0.04259592663135963,84.24028268551237,31.847844583011465,27.23315618900233,4.614688394009136
8,1,9,6,5,3396,16980,398,0.023439340400471142,0.9765606595995289,0.04380631821989354,85.46525323910483,2.4808009109983686,1.1484000719792675,1.3324008390191011
8,2,9,6,5,3396,16980,437,0.025736160188457008,0.974263839811543,0.048558173218953525,83.17432273262662,2.556942804978462,1.1483260609966237,1.4086167439818382
8,3,9,6,5,3396,16980,591,0.03480565371024735,0.9651943462897526,0.05604251510419939,82.226148409894,2.579381643998204,1.148760580981616,1.4306210630165879
8,4,9,6,5,3396,16980,401,0.023616018845700824,0.9763839811542991,0.04576462171715055,84.71142520612486,2.575919902010355,1.1481288380164187,1.4277910639939364
8,5,9,6,5,3396,16980,370,0.021790341578327443,0.9782096584216725,0.04449042125994848,84.55241460541814,2.4810380010167137,1.1476960990112275,1.3333419020054862
8,6,9,6,5,3396,16980,343,0.020200235571260307,0.9797997644287397,0.039381193076493966,87.06713780918729,2.5318929130153265,1.1474366780021228,1.3844562350132037
8,7,9,6,5,3396,16980,553,0.03256772673733804,0.9674322732626619,0.0597402131641287,80.21790341578328,2.5777421350067016,1.1487454840098508,1.4289966509968508
8,8,9,6,5,3396,16980,516,0.0303886925795053,0.9696113074204947,0.05618287948656854,80.49469964664311,2.5422472369973548,1.1479124029865488,1.394334834010806
8,9,9,6,5,3396,16980,548,0.032273262661955245,0.9677267373380447,0.045082630541493945,84.44051825677268,2.6255482679989655,1.1485583359899465,1.476989932009019
8,10,9,6,5,3396,16980,424,0.024970553592461718,0.9750294464075383,0.04843095669353995,82.92108362779742,2.505174892983632,1.1490854540024884,1.3560894389811438
8,11,9,6,5,3396,16980,431,0.025382803297997643,0.9746171967020023,0.04754973051660459,83.59835100117786,2.6230221769947093,1.1480559140036348,1.4749662629910745
8,12,9,6,5,3396,16980,447,0.026325088339222615,0.9736749116607774,0.04980958335359496,83.3922261484099,2.4991931060212664,1.1485036610101815,1.350689445011085
8,13,9,6,5,3396,16980,471,0.027738515901060072,0.97226148409894,0.0518125904175927,82.72084805653711,2.517862957000034,1.1479985050100368,1.3698644519899972
8,14,9,6,5,3396,16980,401,0.023616018845700824,0.9763839811542991,0.04244879730144961,85.15901060070672,2.5212444060016423,1.1481724590121303,1.373071946989512
8,15,9,6,5,3396,16980,410,0.024146054181389872,0.9758539458186102,0.04614260381165095,84.45229681978799,2.578392385999905,1.1477327500178944,1.4306596359820105
8,16,9,6,5,3396,16980,433,0.025500588928150766,0.9744994110718492,0.04983003427108575,83.08009422850412,2.5214973999827635,1.1482695189770311,1.3732278810057323
8,17,9,6,5,3396,16980,536,0.031566548881036514,0.9684334511189635,0.05894737734915571,81.10129564193169,2.5754903749912046,1.1477818829880562,1.4277084920031484
8,18,9,6,5,3396,16980,341,0.020082449941107184,0.9799175500588928,0.04112794794325479,85.56537102473499,2.477598441997543,1.148636780999368,1.328961660998175
8,19,9,6,5,3396,16980,468,0.02756183745583039,0.9724381625441696,0.05291896820020443,82.03180212014135,2.500458268012153,1.147269237000728,1.353189031011425
8,20,9,6,5,3396,16980,423,0.02491166077738516,0.9750883392226148,0.047020387985709046,83.74558303886926,2.4628865649865475,1.1482846940052696,1.314601870981278
8,21,9,6,5,3396,16980,482,0.02838633686690224,0.9716136631330977,0.05060711611699645,82.77974087161367,2.48998583300272,1.1489833439991344,1.3410024890035857
8,22,9,6,5,3396,16980,580,0.03415783274440518,0.9658421672555948,0.05006279216249922,82.67962308598351,2.6082161530212034,1.1477121119969524,1.460504041024251
8,23,9,6,5,3396,16980,358,0.021083627797408716,0.9789163722025913,0.03982994734823757,86.33097762073028,2.553934836992994,1.1526377800037153,1.4012970569892786
8,24,9,6,5,3396,16980,671,0.039517078916372204,0.9604829210836278,0.050127116762053385,82.92697290930506,2.6684985870087985,1.1509826449910179,1.5175159420177806
8,25,9,6,5,3396,16980,395,0.02326266195524146,0.9767373380447586,0.045937105980478746,84.24617196702003,2.499386732990388,1.1514870180108119,1.347899714979576
8,26,9,6,5,3396,16980,416,0.024499411071849234,0.9755005889281507,0.045697784268980045,84.66431095406361,2.505034631001763,1.1519895099918358,1.3530451210099272
8,27,9,6,5,3396,16980,451,0.026560659599528857,0.9734393404004711,0.04875516022428156,84.0223792697291,2.5267208380100783,1.150938225997379,1.3757826120126992
8,28,9,6,5,3396,16980,393,0.02314487632508834,0.9768551236749117,0.045149645230765936,84.96466431095406,2.522614766989136,1.151110556005733,1.371504210983403
8,29,9,6,5,3396,16980,483,0.0284452296819788,0.9715547703180212,0.05226648933880245,82.84452296819788,2.5404479330172762,1.151845245010918,1.3886026880063582
8,30,9,6,5,3396,16980,449,0.026442873969375735,0.9735571260306243,0.048503629496482285,84.10482921083629,2.4771544759860262,1.1513147899822798,1.3258396860037465
